reviews,sentiment_value,word_count,sentiment
experience intial use sort trouble getting software installed e g multiple instance blue screen death sorting hardward issue e g camera working microphone quality,-4,24,0
bios problem needed use external keyboard access f f,-2,9,0
nice laptop window software kept crashing software arrived defective,1,9,2
lightweight powerful play nicely multiple monitor laptop lightweight powerful play nicely dell wd dock multiple k monitor,4,17,2
evo framework purchased laptop personal use website filter identified computer evo vpro certified also called sale team numerous time also used chat function sale department verifying laptop evo evo certification important indicates better performing laptop overall computing experience disappointed found laptop evo certified returning another one using dell product decade satisfied dell would recommend dell friend family however particular situation told would get restocking fee return laptop working management hope case laptop good gb make easy work statistical software evo certified like previous latitude model would perfect business travel laptop,15,90,2
device faulty facing issue usage device faulty facing issue usage device crashing blue screen death different reason,-4,17,0
waste money worst screen quality ever laptop,-4,7,0
dell latitude laptop significant downgrade material quality compare previous version part showing design flow new please see picture use week new,2,21,2
slow waited week computer way slow,0,6,1
solid corporate device great performing device corporate usage,5,8,2
many complication received new dell came many complication still cant use software update would load program refused fully download computer needed job job dept working two week order make functional computer rely using hate put bad review truth,-8,38,0
dead arrival good luck far failing usbc port motherboards replaced,1,10,2
good device poor screen touch support device fast responsive office application solid feel however little heavier expected disappointed touch screen clamshell model provides basic touch support support active pen based high unit price poor touch screen support struggle recommend unit,10,40,2
need user manual please send user manual device need learn fully utilize feature,1,13,2
sr director business service pleased laptop meet requirement fast lightweight,1,10,2
blue screen good experience getting blue screen death since last night doesnt allow login even multiple restarts,2,17,2
yet yet shipping took forever,0,5,1
pdp error product description website bug customer end paying,-3,9,0
half stuff hasnt arrived half stuff hasnt arrived,0,8,1
first time year dispaointed dell disapointed quality new latitude laptop step backword design,0,13,1
received wrong configuration received wrong configuration laptop response mean sale representative sure get resolved,-2,14,0
horrible customer support never delivered asian order support keep saying delivered acting like understand want put ticket resolved help still unresolved many day later,8,24,2
lost transit refund day since ordered laptop dhl say find dell keep saying investigated probably using money refunded,0,18,1
log unable log department week still cannot use,0,8,1
great laptop quality control slipped ordered laptop doa upon delivery unfortunately unique last order laptop doa something seriously gone wrong quality control factory good news dell pro support fixed without issue part available took week case love laptop,9,38,2
faulty motherboard dell sent laptop faulty motherboard,0,7,1
dead arrival laptop dead arrival still waiting replacement,-6,8,0
bad quality bad quality overheating keyboard trackpad issue,-6,8,0
hassle installation win laptop come required security software required company,4,10,2
broken device laptop broken customer support helpful,4,7,2
